seed,mcnemar_rf_lr_p
1224296690,1.0
784163091,0.2890625
221287021,0.7744140625
1752409363,1.0
1490346767,1.0
390900890,1.0
1196672310,0.7265625
192177716,0.5078125
1370399493,0.7744140625
1566868218,1.0
1687238108,0.375
688477673,1.0
1838191595,0.00341796875
819361936,1.0
970908555,1.0
503913609,0.75390625
2028777895,0.453125
1760509409,0.6476058959960938
980619854,1.0
463596929,1.0
1904136293,0.5810546875
1040170697,0.79052734375
136612193,0.109375
1429236528,1.0
1059420494,0.0703125
113712825,0.7744140625
601898957,1.0
1189651272,0.1795654296875
1330113148,0.3876953125
1174351449,0.021484375
1552381106,1.0
877402892,0.7744140625
211339667,0.34375
1419857231,0.548828125
1216750747,1.0
1296765867,0.09228515625
1310617029,0.8145294189453125
68093465,0.79052734375
247162270,0.0224609375
1740119416,0.2265625
1414026211,1.0
1249807264,1.0
1755829418,1.0
2132369785,1.0
81788580,1.0
1362892730,0.266845703125
1013256816,0.1796875
1132835717,0.6072387695312499
295993327,0.34375
140994345,0.7744140625
1014291337,0.453125
1252763915,0.548828125
1568273506,0.237884521484375
1390521239,0.5810546875
2060902355,0.11846923828124999
545762055,0.548828125
159440875,0.125
613920297,0.75390625
662756461,0.7744140625
386601003,1.0
1627943731,0.629058837890625
350924044,0.7744140625
5434279,0.548828125
1919496873,0.5078125
1491230185,0.0078125
116581084,0.7265625
551729983,0.2890625
1022144652,0.548828125
585675315,0.30175781249999994
970170757,1.0
1473030441,0.6072387695312499
1663958893,0.2265625
1495977601,0.109375
778648183,1.0
660483219,0.5810546875
811084728,1.0
579569136,0.75390625
1677449021,0.454498291015625
1914672330,0.8145294189453125
13226313,1.0
1389755550,1.0
134316431,1.0
1070271862,0.125
2079592148,0.548828125
1620891271,0.3876953125
782004522,0.75390625
432708111,1.0
789689873,1.0
842955093,0.453125
1708996899,1.0
124237770,1.0
1828530269,0.30175781249999994
55212401,0.3876953125
389578526,1.0
50222667,0.4239501953125
288419696,1.0
1470471598,0.8145294189453125
1298572040,0.548828125
1533005250,0.09625244140625
979911560,0.2890625
1946520798,1.0
832622390,0.6875
349215093,0.548828125
916528993,0.4239501953125
1386741260,0.21875
827590410,0.34375
1855397402,1.0
1265333771,1.0
847986160,0.7265625
912508261,0.34375
767448875,0.548828125
1760520175,1.0
659108866,1.0
682281828,0.7265625
401941896,0.4239501953125
1710475091,0.34375
157726589,1.0
931857021,0.6875
1332553960,0.548828125
1055245413,1.0
1048959470,1.0
